
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...
"82032045002086"                  13.800          ( -49.327613612, -16.617904425)     No           3          1    2    3 
"87706645002086"                  13.800          ( -49.327564694, -16.617785911)     No           3          1    2    3 
"82034125002086"                  13.800          ( -49.328831538, -16.619857041)     No           3          1    2    3 
"82034135002086"                  13.800          ( -49.328964398, -16.61961447 )     No           3          1    2    3 
"82034145002086"                  13.800          ( -49.329124267, -16.619326938)     No           3          1    2    3 
"82034155002086"                  13.800          ( -49.32957442 , -16.618610303)     No           3          1    2    3 
"82024965002086"                  13.800          ( -49.329774136, -16.618277544)     No           3          1    2    3 
"82034185002086"                  13.800          ( -49.329869659, -16.618070463)     No           3          1    2    3 
"82034195002086"                  13.800          ( -49.329965105, -16.617872418)     No           3          1    2    3 
"82032075002086"                  13.800          ( -49.327287731, -16.617142879)     No           3          1    2    3 
"82032345002086"                  13.800          ( -49.327171049, -16.616889714)     No           3          1    2    3 
"82032495002086"                  13.800          ( -49.327121424, -16.616768915)     No           3          1    2    3 
"82032635002086"                  13.800          ( -49.326936349, -16.616330688)     No           3          1    2    3 
